id	kind	path	symbol	status	notes
vendor/huh/accessibility/accessibility.go:PromptBool	func	vendor/huh/accessibility/accessibility.go	PromptBool	ported	symbol match found in Crystal source/spec/examples
vendor/huh/accessibility/accessibility.go:PromptInt	func	vendor/huh/accessibility/accessibility.go	PromptInt	ported	symbol match found in Crystal source/spec/examples
vendor/huh/accessibility/accessibility.go:PromptString	func	vendor/huh/accessibility/accessibility.go	PromptString	ported	symbol match found in Crystal source/spec/examples
vendor/huh/accessor.go:Accessor	type	vendor/huh/accessor.go	Accessor	ported	symbol match found in Crystal source/spec/examples
vendor/huh/accessor.go:EmbeddedAccessor	type	vendor/huh/accessor.go	EmbeddedAccessor	ported	symbol match found in Crystal source/spec/examples
vendor/huh/accessor.go:NewPointerAccessor	func	vendor/huh/accessor.go	NewPointerAccessor	ported	idiomatic Crystal match via Huh.cell + PointerAccessor (ref renamed to cell)
vendor/huh/accessor.go:PointerAccessor	type	vendor/huh/accessor.go	PointerAccessor	ported	symbol match found in Crystal source/spec/examples
vendor/huh/eval.go:Eval	type	vendor/huh/eval.go	Eval	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/bubbletea/main.go:Model	type	vendor/huh/examples/bubbletea/main.go	Model	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/bubbletea/main.go:NewModel	func	vendor/huh/examples/bubbletea/main.go	NewModel	ported	idiomatic Crystal match found via Model
vendor/huh/examples/bubbletea/main.go:NewStyles	func	vendor/huh/examples/bubbletea/main.go	NewStyles	ported	idiomatic Crystal match found via Styles
vendor/huh/examples/bubbletea/main.go:Styles	type	vendor/huh/examples/bubbletea/main.go	Styles	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/burger/main.go:Burger	type	vendor/huh/examples/burger/main.go	Burger	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/burger/main.go:Order	type	vendor/huh/examples/burger/main.go	Order	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/burger/main.go:Spice	type	vendor/huh/examples/burger/main.go	Spice	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/dynamic/dynamic-bubbletea/main.go:Model	type	vendor/huh/examples/dynamic/dynamic-bubbletea/main.go	Model	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/dynamic/dynamic-bubbletea/main.go:NewModel	func	vendor/huh/examples/dynamic/dynamic-bubbletea/main.go	NewModel	ported	idiomatic Crystal match found via Model
vendor/huh/examples/dynamic/dynamic-bubbletea/main.go:NewStyles	func	vendor/huh/examples/dynamic/dynamic-bubbletea/main.go	NewStyles	ported	idiomatic Crystal match found via Styles
vendor/huh/examples/dynamic/dynamic-bubbletea/main.go:Styles	type	vendor/huh/examples/dynamic/dynamic-bubbletea/main.go	Styles	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/gh/create.go:Action	type	vendor/huh/examples/gh/create.go	Action	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/readme/select/scroll/scroll.go:Pokemon	type	vendor/huh/examples/readme/select/scroll/scroll.go	Pokemon	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/timer/main.go:Model	type	vendor/huh/examples/timer/main.go	Model	ported	symbol match found in Crystal source/spec/examples
vendor/huh/examples/timer/main.go:NewModel	func	vendor/huh/examples/timer/main.go	NewModel	ported	idiomatic Crystal match found via Model
vendor/huh/field_confirm.go:Confirm	type	vendor/huh/field_confirm.go	Confirm	ported	symbol match found in Crystal source/spec/examples
vendor/huh/field_confirm.go:NewConfirm	func	vendor/huh/field_confirm.go	NewConfirm	ported	idiomatic Crystal match found via new_confirm
vendor/huh/field_filepicker.go:FilePicker	type	vendor/huh/field_filepicker.go	FilePicker	ported	symbol match found in Crystal source/spec/examples
vendor/huh/field_filepicker.go:NewFilePicker	func	vendor/huh/field_filepicker.go	NewFilePicker	ported	idiomatic Crystal match found via FilePicker
vendor/huh/field_input.go:EchoMode	type	vendor/huh/field_input.go	EchoMode	ported	symbol match found in Crystal source/spec/examples
vendor/huh/field_input.go:Input	type	vendor/huh/field_input.go	Input	ported	symbol match found in Crystal source/spec/examples
vendor/huh/field_input.go:NewInput	func	vendor/huh/field_input.go	NewInput	ported	idiomatic Crystal match found via new_input
vendor/huh/field_multiselect.go:MultiSelect	type	vendor/huh/field_multiselect.go	MultiSelect	ported	symbol match found in Crystal source/spec/examples
vendor/huh/field_multiselect.go:NewMultiSelect	func	vendor/huh/field_multiselect.go	NewMultiSelect	ported	idiomatic Crystal match found via MultiSelect
vendor/huh/field_note.go:NewNote	func	vendor/huh/field_note.go	NewNote	ported	idiomatic Crystal match found via new_note
vendor/huh/field_note.go:Note	type	vendor/huh/field_note.go	Note	ported	symbol match found in Crystal source/spec/examples
vendor/huh/field_select.go:NewSelect	func	vendor/huh/field_select.go	NewSelect	ported	idiomatic Crystal match found via new_select
vendor/huh/field_select.go:Select	type	vendor/huh/field_select.go	Select	ported	symbol match found in Crystal source/spec/examples
vendor/huh/field_text.go:NewText	func	vendor/huh/field_text.go	NewText	ported	idiomatic Crystal match found via new_text
vendor/huh/field_text.go:Text	type	vendor/huh/field_text.go	Text	ported	symbol match found in Crystal source/spec/examples
vendor/huh/form.go:ErrTimeout	var	vendor/huh/form.go	ErrTimeout	ported	idiomatic Crystal match found via TimeoutError
